"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0006260" "GO:0006260" "DNA replication" "56/936" "273/18866" 5.57392860069321e-20 2.91906640818304e-16 2.63500140481192e-16 "FAM111B/RFC3/ATRIP/MCM8/POLD1/ORC1/DBF4/CCNE1/POLE/MCM3/CDC45/TOP3A/RFWD3/PRIM1/CLSPN/KCTD13/TIMELESS/MCM7/GRWD1/POLE2/LRWD1/GINS2/TONSL/FEN1/NASP/DTL/CHTF18/RECQL4/CDC7/ESCO2/GINS3/GMNN/CCNE2/POLA2/CDT1/RPAIN/MCM4/RAD9A/CDC6/RFC5/RFC2/CHAF1A/RPA2/CACYBP/RBBP4/ORC6/RFC4/MCM2/POLB/DDX11/DSCC1/SDE2/POLE3/RNASEH2A/RRM2/RPA3" 56
"GO:0032201" "GO:0032201" "telomere maintenance via semi-conservative replication" "13/936" "27/18866" 1.06653627314544e-10 9.30908410410447e-08 8.40318316262488e-08 "RFC3/POLD1/POLE/PRIM1/POLE2/FEN1/POLA2/RFC5/RFC2/RPA2/RFC4/POLE3/RPA3" 13
"GO:0060337" "GO:0060337" "type I interferon signaling pathway" "22/936" "95/18866" 1.02370161162792e-09 6.70140667511926e-07 6.04926833923813e-07 "OAS2/HLA-F/HLA-C/HSP90AB1/IFIT1/IFIT2/OAS3/MX1/RSAD2/ISG15/HLA-G/USP18/OASL/IFI6/MX2/IFIT3/OAS1/ISG20/METTL3/TTLL12/HLA-B/IFI27" 22
"GO:0071357" "GO:0071357" "cellular response to type I interferon" "22/936" "95/18866" 1.02370161162792e-09 6.70140667511926e-07 6.04926833923813e-07 "OAS2/HLA-F/HLA-C/HSP90AB1/IFIT1/IFIT2/OAS3/MX1/RSAD2/ISG15/HLA-G/USP18/OASL/IFI6/MX2/IFIT3/OAS1/ISG20/METTL3/TTLL12/HLA-B/IFI27" 22
"GO:0042026" "GO:0042026" "protein refolding" "11/936" "23/18866" 3.30216769917576e-09 1.72934522405835e-06 1.56105633021035e-06 "HSPD1/HSPA1A/HSPA1B/HSPA6/HSPA8/DNAJA2/HSPA9/DNAJA4/HSP90AA1/FKBP1B/HSPA1L" 11
"GO:0009408" "GO:0009408" "response to heat" "28/936" "166/18866" 1.21848030279769e-08 5.80107395068321e-06 5.23655027738224e-06 "MICA/CXCL10/HSPD1/HSPA1A/NUP210/HSPA1B/HSPA6/EP300/HMOX1/PDCL3/HSPA8/HSPH1/HSP90AB1/NUP88/NUP205/DNAJA2/FKBP4/DNAJB1/RPA2/DNAJA4/HSPB8/MICB/HSP90AA1/DNAJA1/HTRA2/SST/RPA3/HSPA1L" 28
"GO:0097193" "GO:0097193" "intrinsic apoptotic signaling pathway" "39/936" "290/18866" 1.4593083927975e-08 6.36866504423377e-06 5.74890701057332e-06 "ITPR1/UBB/FIGNL1/BCL2L12/BCL2L11/CD24/TNFRSF1B/MYBBP1A/HSPA1A/EP300/NOC2L/PLAGL2/HMOX1/ATP2A3/CDIP1/PPP1R13B/MSH2/RAD9A/BRSK2/TRAF2/CDKN2D/IFI6/SLC9A3R1/MSX1/UBQLN1/MOAP1/NKX3-1/PRKCD/DNAJA1/GSKIP/FHIT/E2F1/HTRA2/POLB/CHAC1/PMAIP1/MLLT11/CRIP1/POU4F1" 39
"GO:0000082" "GO:0000082" "G1/S transition of mitotic cell cycle" "38/936" "287/18866" 3.40752051059203e-08 1.37270653184388e-05 1.23912345045092e-05 "PPAT/CCNA1/MCM8/ORC1/EP300/DBF4/CCNE1/POLE/MCM3/CDC45/RFWD3/CDC25C/PRIM1/EZH2/MCM7/PIM2/POLE2/NASP/CDC25A/CDC7/GMNN/CCNE2/CYP1A1/POLA2/CDT1/MCM4/CDC6/CNOT6/CDKN2D/CDK18/RPA2/ORC6/E2F1/MCM2/POLE3/CDK2AP2/RRM2/RPA3" 38
"GO:0000724" "GO:0000724" "double-strand break repair via homologous recombination" "24/936" "138/18866" 7.29525039557402e-08 2.38782664510132e-05 2.15545852148177e-05 "KLHL15/FIGNL1/RAD51C/MCM8/ZFYVE26/MCM3/CDC45/RFWD3/TIMELESS/MCM7/GINS2/WRAP53/TONSL/FEN1/RECQL4/CDC7/RAD54L/MCM4/XRCC3/XRCC2/RAD51AP1/RPA2/MCM2/RPA3" 24
"GO:0044843" "GO:0044843" "cell cycle G1/S phase transition" "38/936" "310/18866" 2.59988063568944e-07 6.48360709005028e-05 5.8526636265069e-05 "PPAT/CCNA1/MCM8/ORC1/EP300/DBF4/CCNE1/POLE/MCM3/CDC45/RFWD3/CDC25C/PRIM1/EZH2/MCM7/PIM2/POLE2/NASP/CDC25A/CDC7/GMNN/CCNE2/CYP1A1/POLA2/CDT1/MCM4/CDC6/CNOT6/CDKN2D/CDK18/RPA2/ORC6/E2F1/MCM2/POLE3/CDK2AP2/RRM2/RPA3" 38
