"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa03030" "hsa03030" "DNA replication" "18/461" "36/8102" 9.89490784727567e-14 3.03773670911363e-11 2.83306835206209e-11 "5983/5424/5426/4172/5557/4176/5427/2237/23649/4173/5985/5982/6118/5984/4171/54107/10535/6119" 18
"hsa04110" "hsa04110" "Cell cycle" "22/461" "124/8102" 1.52861813131365e-06 0.000234642883156645 0.000218833753535427 "8900/4998/2033/10926/898/4172/8318/995/9088/4176/699/993/8317/10912/9134/4173/990/1032/7272/23594/1869/4171" 22
"hsa03430" "hsa03430" "Mismatch repair" "8/461" "23/8102" 2.37279105872173e-05 0.00242815618342523 0.00226455848411337 "5983/5424/4436/5985/5982/6118/5984/6119" 8
"hsa03460" "hsa03460" "Fanconi anemia pathway" "11/461" "54/8102" 0.00018499171838178 0.0115628579343014 0.010783807159712 "5889/84126/2175/7156/9894/55215/2189/6118/3280/29089/6119" 11
"hsa05169" "hsa05169" "Epstein-Barr virus infection" "25/461" "202/8102" 0.00018832016179644 0.0115628579343014 0.010783807159712 "4939/5291/10018/8900/3134/3627/4793/898/3107/3569/5709/10912/9134/4940/9636/54205/3135/7186/23586/5336/3280/4938/8503/1869/3106" 25
"hsa03420" "hsa03420" "Nucleotide excision repair" "10/461" "47/8102" 0.000248470767170455 0.0127134209202216 0.0118568506439235 "5983/5424/5426/5427/5985/5982/6118/5984/54107/6119" 10
"hsa04218" "hsa04218" "Cellular senescence" "20/461" "156/8102" 0.000515135343578551 0.0225923643540879 0.0210701975117843 "3708/4605/5291/8900/3134/898/3107/4772/3569/993/10912/9134/3135/5883/292/286826/8503/5928/1869/3106" 20
"hsa05162" "hsa05162" "Measles" "18/461" "139/8102" 0.00085955505837324 0.0329854253650731 0.0307630231417791 "4939/5291/3303/4793/3304/3310/898/3312/3569/9134/4940/4599/54205/23586/4600/4938/8503/3305" 18
"hsa05165" "hsa05165" "Human papillomavirus infection" "33/461" "331/8102" 0.00110393087347794 0.0376563086841919 0.0351192043960233 "5291/8900/10319/3134/2033/5590/898/3107/535/23462/284217/7855/3993/9134/533/4599/9636/3135/8638/6932/84612/8326/1298/9368/8325/4600/3280/57801/8503/1869/92359/7483/3106" 33
"hsa04612" "hsa04612" "Antigen processing and presentation" "12/461" "78/8102" 0.00139889129825104 0.0403267382853869 0.0376097130588899 "3134/3303/3304/3310/3107/3312/3326/3135/3320/10437/3106/3305" 12
"hsa04964" "hsa04964" "Proximal tubule bicarbonate reclamation" "6/461" "23/8102" 0.00144493199068162 0.0403267382853869 0.0376097130588899 "10991/760/483/478/1468/482" 6
"hsa04141" "hsa04141" "Protein processing in endoplasmic reticulum" "20/461" "171/8102" 0.00164338985962664 0.0420433905754481 0.0392107054226706 "3303/3304/3310/26232/3312/10808/3326/10483/10294/6048/10113/55432/22824/3337/7186/29979/3320/3301/3305/258010" 20
"hsa03440" "hsa03440" "Homologous recombination" "8/461" "41/8102" 0.00187085237168357 0.0441808983159121 0.0412041979836382 "5889/5424/7156/8438/7517/7516/6118/6119" 8
"hsa04914" "hsa04914" "Progesterone-mediated oocyte maturation" "13/461" "100/8102" 0.00420259576938249 0.092156921514316 0.0859478232535366 "5291/64506/8900/995/80315/9088/6195/3326/699/993/3835/3320/8503" 13
"hsa05134" "hsa05134" "Legionellosis" "9/461" "57/8102" 0.00452586719361091 0.0926294152292367 0.0863884825727838 "3329/3303/3304/3310/3312/3569/1917/54205/3305" 9
"hsa04978" "hsa04978" "Mineral absorption" "9/461" "59/8102" 0.00571791050768978 0.109712407866298 0.102320503821817 "4494/4499/3162/4489/4495/4501/483/478/482" 9
"hsa00330" "hsa00330" "Arginine and proline metabolism" "8/461" "51/8102" 0.00758281892911396 0.136936788896352 0.127710634595604 "54498/2805/4953/384/1152/51056/6303/262" 8
"hsa05215" "hsa05215" "Prostate cancer" "12/461" "97/8102" 0.00866017155944917 0.14311128890991 0.13346912595061 "6692/5291/4314/2033/898/3326/9134/6932/3320/4824/8503/1869" 12
"hsa05164" "hsa05164" "Influenza A" "18/461" "172/8102" 0.00885705045370777 0.14311128890991 0.13346912595061 "4939/5291/3627/4793/2033/3569/6352/4940/4599/91543/54205/3337/23586/292/8797/4600/4938/8503" 18
"hsa03410" "hsa03410" "Base excision repair" "6/461" "33/8102" 0.00978874119242862 0.150257177303779 0.140133558123189 "5424/5426/5427/2237/5423/54107" 6
"hsa05222" "hsa05222" "Small cell lung cancer" "11/461" "92/8102" 0.0148969307410277 0.217778939880738 0.203106023135816 "5291/10319/898/284217/10912/9134/54205/7186/8503/2272/1869" 11
"hsa00250" "hsa00250" "Alanine, aspartate and glutamate metabolism" "6/461" "37/8102" 0.0169719579914621 0.236835959244494 0.220879070510894 "5471/2805/9945/259307/80150/339983" 6
"hsa05416" "hsa05416" "Viral myocarditis" "8/461" "60/8102" 0.0195486242724482 0.260931637027896 0.243351295290889 "3134/3107/284217/1525/54205/3135/1604/3106" 8
"hsa04070" "hsa04070" "Phosphatidylinositol signaling system" "11/461" "97/8102" 0.0214159787164981 0.273946061081871 0.255488868898574 "3708/5291/5286/8867/22876/4952/5336/79837/1040/8503/3706" 11
"hsa04915" "hsa04915" "Estrogen signaling pathway" "14/461" "138/8102" 0.024971529640954 0.306650383990915 0.28598972894061 "3708/5291/3303/3304/3310/3312/3326/2288/1839/3320/5580/8503/2775/3305" 14
"hsa05167" "hsa05167" "Kaposi sarcoma-associated herpesvirus infection" "18/461" "193/8102" 0.0261809039678113 0.309136058389157 0.288307930333793 "3708/7314/5291/100507436/3134/2033/3107/4772/3569/54205/3135/6932/7186/5336/4277/8503/1869/3106" 18
"hsa04215" "hsa04215" "Apoptosis - multiple species" "5/461" "32/8102" 0.0329388312247261 0.354420099622323 0.330540946673314 "10018/54205/4804/27429/5366" 5
"hsa05160" "hsa05160" "Hepatitis C" "15/461" "157/8102" 0.0333813680390175 0.354420099622323 0.330540946673314 "4939/949/5291/3627/3434/4940/4599/91543/54205/7186/23586/4600/4938/8503/1869" 15
"hsa04940" "hsa04940" "Type I diabetes mellitus" "6/461" "43/8102" 0.0334794230913595 0.354420099622323 0.330540946673314 "3134/3329/3107/1363/3135/3106" 6
"hsa04650" "hsa04650" "Natural killer cell mediated cytotoxicity" "13/461" "131/8102" 0.0351300863466368 0.359497883613916 0.335276613553867 "5291/100507436/3107/4772/79465/3135/353091/5336/8797/4277/8503/80328/3106" 13
"hsa05224" "hsa05224" "Breast cancer" "14/461" "147/8102" 0.0398769492193034 0.387666022465646 0.361546916203174 "5291/2324/23462/7855/3714/10912/6932/8326/8325/3280/10683/8503/1869/7483" 14
"hsa00400" "hsa00400" "Phenylalanine, tyrosine and tryptophan biosynthesis" "2/461" "6/8102" 0.041592592309504 0.387666022465646 0.361546916203174 "2805/259307" 2
"hsa00533" "hsa00533" "Glycosaminoglycan biosynthesis - keratan sulfate" "3/461" "14/8102" 0.0416709405256232 0.387666022465646 0.361546916203174 "8703/93010/10678" 3
"hsa04973" "hsa04973" "Carbohydrate digestion and absorption" "6/461" "47/8102" 0.0488400790547283 0.42855615596445 0.399682065566022 "5291/2542/483/478/482/8503" 6
"hsa04330" "hsa04330" "Notch signaling pathway" "7/461" "59/8102" 0.0488581936767288 0.42855615596445 0.399682065566022 "7090/2033/23462/3714/7089/3280/10683" 7
"hsa05223" "hsa05223" "Non-small cell lung cancer" "8/461" "72/8102" 0.0509131777765898 0.434176266039252 0.404923519158843 "5291/5979/10912/5336/6789/8503/2272/1869" 8
"hsa00562" "hsa00562" "Inositol phosphate metabolism" "8/461" "73/8102" 0.0544742907025493 0.446155693448862 0.416095829309414 "5291/5286/8867/22876/4952/5336/79837/3706" 8
"hsa04960" "hsa04960" "Aldosterone-regulated sodium reabsorption" "5/461" "37/8102" 0.0566777591026242 0.446155693448862 0.416095829309414 "5291/483/478/482/8503" 5
