"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"GO:0016887" "GO:0016887" "ATPase activity" "54/947" "423/18352" 7.1796395852964e-10 4.37831831820009e-07 3.99561783735846e-07 "KIF1A/CHD7/FIGNL1/ABCG1/RFC3/DHX37/RAD51C/MCM8/HSPD1/HSPA1A/ABCA7/ABCA3/HSPA1B/KIFC1/HSPA6/MYO5B/MCM3/ATAD2/ATP13A2/HSPA8/MCM7/MYO19/GINS2/ATP2A3/ABCG2/CHD1/CHTF18/KIFC2/KATNB1/RECQL4/KIF21A/RAD54L/KIF22/MYH14/ACTR5/SUPV3L1/MSH2/MCM4/LONP1/XRCC3/XRCC2/RFC5/HSPA9/DDX58/HELLS/RFC2/DDX39A/HSP90AA1/RBBP4/RFC4/MCM2/DDX11/DSCC1/HSPA1L" 54
"GO:0008094" "GO:0008094" "DNA-dependent ATPase activity" "24/947" "108/18352" 9.70802287849243e-10 4.37831831820009e-07 3.99561783735846e-07 "CHD7/RFC3/RAD51C/MCM8/MCM3/MCM7/GINS2/CHD1/CHTF18/RECQL4/RAD54L/ACTR5/SUPV3L1/MSH2/MCM4/XRCC3/XRCC2/RFC5/RFC2/RBBP4/RFC4/MCM2/DDX11/DSCC1" 24
"GO:0003688" "GO:0003688" "DNA replication origin binding" "11/947" "23/18352" 4.97803116243825e-09 1.4967280361731e-06 1.36590188386902e-06 "MCM8/HSPD1/ORC1/MCM3/CDC45/MCM7/GRWD1/MCM4/CDC6/MCM2/DDX11" 11
"GO:0140097" "GO:0140097" "catalytic activity, acting on DNA" "32/947" "209/18352" 3.23618095042908e-08 7.29758804321757e-06 6.65971974535668e-06 "CHD7/RFC3/RAD51C/MCM8/POLD1/POLE/MCM3/TOP3A/MCM7/POLE2/EXO5/GINS2/FEN1/PGBD5/CHD1/CHTF18/RECQL4/RAD54L/ACTR5/SUPV3L1/MCM4/XRCC3/RAD9A/RFC5/RFC2/ISG20/RFC4/MCM2/POLB/DDX11/DSCC1/POLE3" 32
"GO:0051082" "GO:0051082" "unfolded protein binding" "22/947" "118/18352" 1.39342830205533e-07 2.09478721408984e-05 1.91168584597766e-05 "HSPD1/HSPA1A/HSPA1B/HSPA6/HSPA8/HSP90AB1/CCT6A/DNAJA2/CLGN/TCP1/DNAJB1/HSPA9/CHAF1A/DNAJA4/HSP90AA1/DNAJA1/HSPE1/GRPEL2/HTRA2/CCDC115/GRPEL1/HSPA1L" 22
"GO:0051087" "GO:0051087" "chaperone binding" "20/947" "104/18352" 3.03258332118314e-07 3.90770022243885e-05 3.56613557468454e-05 "HSPD1/HSPA8/WRAP53/STIP1/CDC25A/DNAJA2/TIMM10/SDF2L1/DNAJB1/ATP1A3/HES1/DNAJA4/DNAJA1/HSPE1/GRPEL2/HSCB/GET4/HLA-B/GRPEL1/AHSA1" 20
"GO:0044183" "GO:0044183" "protein folding chaperone" "10/947" "27/18352" 4.82116247618146e-07 5.4358606918946e-05 4.96072244259724e-05 "HSPA1A/HSPA1B/HSPA6/PDCL3/HSPA8/HSP90AB1/CLGN/DNAJB1/HSPA9/HSPA1L" 10
"GO:0060590" "GO:0060590" "ATPase regulator activity" "11/947" "41/18352" 4.93904749920582e-06 0.000445502084428365 0.000406561594145152 "HSPH1/DNAJA2/BRSK2/DNAJB1/ATP1B3/DNAJA1/ATP1B2/GRPEL2/HSCB/GRPEL1/AHSA1" 11
"GO:0031072" "GO:0031072" "heat shock protein binding" "19/947" "127/18352" 2.74507771531741e-05 0.00206338341601359 0.00188302699419142 "HSPA1A/HSPA1B/HSPA6/TELO2/HSPA8/STIP1/HSP90AB1/DNAJC9/DNAJA2/FKBP4/CYP1A1/DNAJB1/HSPA9/ARNTL/DNAJA4/DNAJA1/TFAM/AHSA1/HSPA1L" 19
"GO:0031625" "GO:0031625" "ubiquitin protein ligase binding" "32/947" "297/18352" 6.88239463306376e-05 0.0047753230454027 0.00435792113607762 "UBB/TNFRSF1B/HSPD1/HSPA1A/HSPA1B/HSPA6/HSPA8/FZD5/ERBB3/CXCR4/WRAP53/HSP90AB1/CKB/YOD1/TCP1/ISG15/ARRB2/TRAF2/NGFR/HSPA9/DDX58/SLC25A5/RPA2/FZD8/MOAP1/CACYBP/NKD2/HSP90AA1/DNAJA1/FHIT/UBE2T/HSPA1L" 32
"GO:0003697" "GO:0003697" "single-stranded DNA binding" "17/947" "114/18352" 7.4575102047498e-05 0.00480476728906023 0.00438479171437169 "MCM8/HSPD1/SMC2/MCM3/CDC45/TOP3A/MCM7/MSH2/MCM4/LONP1/CNBP/RAD51AP1/RPA2/MCM2/DDX11/POU4F1/RPA3" 17
"GO:0051787" "GO:0051787" "misfolded protein binding" "7/947" "27/18352" 0.000340684025980802 0.0180762936138049 0.0164962791527546 "HSPA1A/HSPA1B/HSPA6/HSPA8/SDF2L1/HSPA9/HSPA1L" 7
"GO:0070182" "GO:0070182" "DNA polymerase binding" "6/947" "20/18352" 0.000385655264118294 0.0193256137908167 0.0176363986280997 "ACD/HSP90AB1/FANCI/CDT1/LONP1/HSP90AA1" 6
"GO:0015605" "GO:0015605" "organophosphate ester transmembrane transporter activity" "8/947" "38/18352" 0.000598503359331679 0.0273099570932863 0.0249228456610455 "SLC25A13/SLC37A4/SLC37A1/SLC25A33/SLC25A44/MFSD2A/SLC25A5/SLC25A19" 8
"GO:0015631" "GO:0015631" "tubulin binding" "34/947" "365/18352" 0.000657453431239126 0.0273099570932863 0.0249228456610455 "KIF1A/BCL2L11/TRIM36/KIFC1/CENPF/REEP1/CAMSAP3/HAUS8/NUSAP1/EZR/STRBP/AGTPBP1/HSPH1/NEFH/CCDC69/KLC3/SPAG5/KIFC2/KATNB1/KIF21A/KIF22/FSD1/MX1/ATF5/TIAM1/MX2/CCDC88C/CACYBP/HOOK1/POLB/TTLL12/BRSK1/BEX4/REEP4" 34
"GO:0004529" "GO:0004529" "exodeoxyribonuclease activity" "6/947" "22/18352" 0.000679421177466403 0.0273099570932863 0.0249228456610455 "POLD1/POLE/EXO5/FEN1/RAD9A/ISG20" 6
"GO:0016895" "GO:0016895" "exodeoxyribonuclease activity, producing 5'-phosphomonoesters" "6/947" "22/18352" 0.000679421177466403 0.0273099570932863 0.0249228456610455 "POLD1/POLE/EXO5/FEN1/RAD9A/ISG20" 6
"GO:0016796" "GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" "10/947" "58/18352" 0.000696373628764507 0.0273099570932863 0.0249228456610455 "POLD1/POLE/EXO5/TOE1/FEN1/RAD9A/CNOT6/ISG20/EXOSC4/EXOSC5" 10
"GO:0000979" "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" "6/947" "24/18352" 0.00112188685768478 0.0421642477346529 0.0384787509960305 "KDM3A/GBX2/EZH2/SOX8/GTF2B/BRF2" 6
"GO:0051539" "GO:0051539" "4 iron, 4 sulfur cluster binding" "8/947" "42/18352" 0.00120351014491728 0.0434226460286154 0.0396271550873815 "PPAT/POLD1/POLE/EXO5/ACO2/RSAD2/DDX11/SDHB" 8
"GO:0015278" "GO:0015278" "calcium-release channel activity" "5/947" "17/18352" 0.00133125241149957 0.0444736916730598 0.0405863308301234 "ITPR1/MCOLN2/MCOLN3/MCOLN1/FKBP1B" 5
