Gene_Symbol,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
A2M,48.09771638,47.54860568,2.221408527,2.069516614
NAT2,0.234755356,0.145308046,0.210222378,0.206933872
ACADM,15.2312199,14.52495989,21.8914379,20.29418689
ACADS,4.824154488,4.731857597,6.197148737,7.066826817
ACADVL,63.56329617,63.30039443,37.29280946,35.92934498
ACAT1,21.43364025,21.92602404,16.31172154,15.30384591
ACVRL1,6.742948594,6.235371743,1.971983007,2.22688127
PSEN1,11.70932641,11.46967229,9.375066996,8.864372594
ADA,4.855309348,5.046590168,9.857448552,9.561742913
SGCA,0.076147811,0.026709099,0,0.063394257
ADRB2,0.320626287,0.552931983,1.774920021,1.534827111
ADRB3,0.020619768,0.003616226,0.007609781,0.017166283
ADSL,28.972951,26.81393636,26.55422994,27.91287046
AGA,13.9125166,13.48941874,3.42456454,3.414211998
AGL,6.519583704,6.176065973,3.980332477,4.527563944
AGT,0.746913353,1.023214108,4.476068405,4.558037233
AGXT,0.06828524,0,0.047251599,0.028424271
ALAD,14.92222109,13.74205535,8.903766986,9.919559309
ALAS2,0.014953655,0.032099673,0.012417046,0
ABCD1,5.353575009,5.276535102,2.960696151,2.888461378
ALDOA,283.9905278,283.9726278,143.7750964,144.3739692
ALDOB,0.059972417,0.055218255,0.048415901,0.009361497
AMPD1,0.022676603,0.031815577,0.062766464,0.037757261
ANK1,5.185890997,5.038520569,2.197613462,2.221251193
APC,5.369549047,5.518182059,4.707818211,4.546784435
APOA1,0.020274956,0.00853381,0.056118956,0.101275329
APOC3,0,0.008976111,0,0.042609742
APOE,8.106923962,8.125145673,35.55704215,35.24053154
APOH,0,0.095605677,0,0.037820137
AR,7.18351622,6.948920936,0.962116745,0.977550226
ARG1,0.030887628,0.027301526,0,0
ARSB,12.58176069,12.98710706,3.843187165,3.797011589
ARSE,3.001067931,3.361917641,0.493183248,0.429667425
ASL,10.65897164,10.90298958,12.63667878,13.2793613
ASPA,0.397592173,0.224930297,0.070999582,0.064064859
ASS1,106.8120392,108.8524392,21.48383972,22.29314953
ATM,9.26508119,9.104919043,3.928463546,3.812344206
ATP7A,3.575690805,3.523944376,1.978834537,1.918625785
ATP7B,0.791437684,0.837120725,1.288598053,1.450001627
BCHE,0.037161086,0.01564125,0,0.018562315
BLM,1.038260883,0.758636043,1.607362547,1.645142564
BRCA2,1.081997795,0.925535425,1.92539132,1.74863605
BTD,8.055549286,7.450946246,4.022220896,3.49738286
BTK,0,0.021988207,0.048198682,0.11887536
SERPING1,116.6497832,117.500769,37.35715618,36.78118007
C2,1.96733513,1.69253153,0.5409903,0.49615276
C3,14.39017683,15.44421422,7.830574706,7.689057831
C6,0.011401258,0.025708046,0.013524638,0.00244073
C8B,0.206835406,0.1941578,0,0.011149235
CA2,0.065498087,0.068921019,1.963995052,1.881222666
CACNA1S,0.029485466,0.034129015,0.014962326,0.011046203
CAPN3,1.354673996,1.647657836,0.835436271,0.725984681
CBS,28.00086493,28.69944711,21.0625689,19.83192843
CD3G,0,0.014597307,0.038397181,0.017323411
CD40LG,0.029765361,0,0.329549617,0.185851002
CDK4,49.53995907,49.7927052,65.4419914,65.84145869
CDKN1C,5.8077874,5.860107856,8.230392584,7.321647417
CDKN2A,8.730745274,8.561320632,9.694415472,9.417636431
CETP,0.0105921,0.011145643,0,0
CHRNA1,0.082624795,0.096603077,0,0.110822612
CHRNE,0.110894119,0.116689449,0.194397434,0.203106437
LYST,3.979940659,3.962490231,2.482684838,2.227013302
ERCC8,4.466580736,4.147613432,3.312404931,2.955540116
CLCN1,0.041159537,0.018561658,0.09765025,0.075262746
CLCN5,1.961401374,2.025583153,3.73369661,3.523529044
CLCNKB,0.316269239,0.289072263,0.459607903,0.371886015
CLN3,12.2762212,12.9993414,29.23238535,30.04336404
CNGA1,0.089310343,0.045842783,0.054263784,0.065284923
COL1A1,3528.786648,3525.712008,76.78414672,77.03434278
COL1A2,3138.633302,3134.522773,83.71363987,82.92437293
COL3A1,891.2920888,896.0859246,13.16997421,12.59239728
COL4A3,0.074495502,0.060662565,0.210340391,0.141178209
COL4A4,0.146264564,0.179631715,0.26448792,0.337484045
COL5A1,166.8123293,164.9118908,16.26657728,15.77820568
COL7A1,14.02507154,14.41688268,4.746646793,4.710196429
COMP,0.937022139,0.754452175,1.46102682,1.330673974
CP,0.054614521,0.065678489,0.043190651,0.068201179
CPOX,10.87572887,11.31164001,5.556025278,5.281626156
CPT2,5.490083245,5.424437648,4.946013574,4.771216905
CST3,172.0463541,171.8747553,76.02768124,80.65967708
CSTB,59.55155754,59.63029468,66.83266225,63.28635497
CYBA,40.5405176,37.63888387,23.95627436,24.6271343
CYP17A1,0.564077465,0.614023625,0.349948209,0.364347473
CYP19A1,0.047479298,0.03041078,0.038092095,0.072180226
CYP1B1,23.66003752,24.45519186,2.82644382,2.836854031
CYP2D6,0.467729424,0.488327877,0.768684247,0.953706535
DDB2,25.45604104,26.95551531,7.881312233,7.017303409
DLD,21.02210424,21.65552726,11.98808475,13.73193286
DMD,0.793055717,0.761728552,0.527554356,0.574137678
DPYD,22.73431679,21.98016028,3.939255447,4.376730503
SLC26A3,0.1131166,0.092577393,0.10436497,0.031390453
SLC26A2,4.779475338,5.05266037,4.648407873,4.491573371
TOR1A,24.53382311,23.66841757,22.40064358,20.87412682
EDNRB,0.029730605,0.017876758,0.205728005,0.242208156
TAZ,6.763045573,7.079609581,4.884855839,4.63051239
EMD,35.59908264,36.96879773,22.8197112,21.67636174
ENG,62.62770483,63.43750267,29.69055702,31.08068968
EPB42,0.014320185,0.022602838,0,0
EPHX1,44.12071814,43.81354231,24.07881751,23.29396169
EPOR,1.480163152,1.340614056,4.28941025,4.54964167
ERCC3,16.02407921,14.90603752,20.01649918,19.07723367
ERCC5,21.44553812,21.58717673,9.691894895,10.81899421
ERCC6,7.506141308,7.84379392,1.400505251,1.631413448
ESR1,0.339077736,0.369900698,0.128142274,0.114828845
ETFA,61.1952078,62.353303,42.88456056,40.18872818
EXT1,114.0323137,115.3189119,13.76593163,13.96560584
F11,0.011096178,0.011676064,0.017915951,0
F13A1,0.009415809,0.00495394,0.029319721,0.017637323
F5,0.653178724,0.596274313,0.723903358,0.729898984
F7,0.255822239,0.336489396,0.241394041,0.292842081
F8,0.273084695,0.290180248,0.101401706,0.158361099
F9,0.064905908,0.086510665,0.005988425,0
FABP2,0.016173086,0.031200202,0.011191353,0.050491313
FANCA,1.876398901,2.126341072,7.41712222,7.040684967
FANCC,2.315197626,2.071237721,4.01766877,3.996185086
FAH,11.96924184,11.59370608,4.355964642,4.448675208
FBN1,206.2740795,206.4847543,10.62586408,10.59652121
MS4A2,0.003323581,0.020983629,0,0
FECH,4.326274453,3.987240972,5.000357483,4.73381039
FGFR2,0.015678134,0.065989895,0.911304123,0.807610724
FGFR3,0.530143041,0.434876394,4.420928862,4.688413421
FH,38.68191194,39.28890625,23.08516246,22.97860995
FSHR,0,0,0.027219919,0
FTL,3190.107085,3198.613251,618.6141243,604.4392016
FUCA1,4.776461663,4.465617575,9.986894499,10.87810409
FUT1,0.059965355,0.058592064,0.337883434,0.481391739
FUT3,0.030182882,0.033167637,0.10680431,0.046683011
FUT6,0.021448306,0.017836515,0.024070149,0.011859346
GAA,36.15968845,35.33190285,30.45436027,30.03065009
GALC,6.721046085,6.387237256,2.774268,2.708006571
GALK1,9.701320629,9.964587331,7.730190392,6.941787559
GALT,8.866793823,9.234827916,6.843197475,7.015352834
GBA,47.72817984,47.29919452,58.06062647,59.23034654
GBE1,33.05754043,33.70446149,12.61310216,12.68561728
GCDH,5.524564795,5.833604874,9.142770445,9.130229049
GCGR,0.005911469,0.04198772,0.282250168,0.420778993
GCH1,0.814512564,0.615003264,8.759794976,8.090548428
GCK,0.419230895,0.266084393,0.202607297,0.199437914
