mRNA,logFC,logCPM,F,PValue,FDR
IGFBP5,7.968872777,12.58068384,1205482.445,1.78E-08,6.64E-05
SLC38A11,7.608878378,5.882827649,6853.452655,0.000639942,0.005488327
KIAA1199,7.357564894,10.69339461,410446.2523,7.27E-08,7.03E-05
SYNPO2,7.288796881,5.606032031,97971.12063,7.48E-05,0.001083323
GRIA1,7.115950014,5.460201489,2320.794573,0.001532943,0.01095588
DIO2,7.040562929,5.397473648,2936.826004,0.001267815,0.009583429
ANGPT1,7.001339415,5.365056489,547.2079028,0.004912743,0.028447205
ALDH1A1,6.554948424,10.58251097,35369.44299,1.79E-06,0.000102001
INMT,6.536178321,4.993128021,120100.7333,6.35E-05,0.000976246
SGCD,6.421995933,4.905673281,125278.1913,6.13E-05,0.000953845
UBL4B,6.297993806,4.812571977,131523.8852,5.90E-05,0.000930577
TENM2,6.231752299,4.763666338,888.689189,0.00332401,0.020631619
LRRN4CL,6.231752299,4.763666338,888.689189,0.00332401,0.020631619
ACAN,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
F2RL2,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
FAM20A,6.162322654,4.713044406,139195.964,5.63E-05,0.000903036
ITGA8,6.01255597,4.606137305,149256.4182,5.33E-05,0.00086904
WNT2,5.9681716,7.4824792,128783.425,3.31E-07,7.03E-05
TMEM130,5.931407886,4.549557919,490.8153601,0.005362354,0.03058051
MXRA5,5.869365484,7.388914565,34669.14567,1.84E-06,0.000104241
AKAP6,5.845421614,4.490668191,162176.8326,4.98E-05,0.00082634
COL3A1,5.70568188,10.72948701,1146305.85,1.90E-08,6.64E-05
PTGFR,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
GPC6,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
JPH2,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
GALNT15,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
NCKAP5,5.656356595,4.365145414,181947.4143,6.62E-05,0.000996555
MGP,5.567081437,7.104899726,70332.67679,7.29E-07,7.67E-05
MYL10,5.551640256,4.298035361,292.2538392,0.008137477,0.042910415
MAMDC2,5.551640256,4.298035361,292.2538392,0.008137477,0.042910415
TAGLN,5.440181268,10.89259641,108237.5181,4.15E-07,7.03E-05
GDF5,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
VCAN,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
PODNL1,5.438723808,4.227649996,206247.3646,0.000221069,0.002466053
TNFRSF11B,5.408475226,9.46134138,20963.17344,3.55E-06,0.000158564
GAS1,5.366747919,7.805743297,48551.94404,1.18E-06,8.19E-05
PTX3,5.344808203,8.886852179,6803.112455,1.54E-05,0.000405429
ACTA2,5.338703486,10.19798038,40318.71052,1.51E-06,9.29E-05
THBS1,5.324540625,12.67879206,632782.0601,4.13E-08,6.64E-05
SLC38A4,5.316213789,4.153653557,211.081091,0.010567931,0.050685908
METTL24,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
C21orf2,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
HNMT,5.31621347,4.153653377,233.1825092,0.009756032,0.047680108
SULF1,5.25384985,9.603083748,46753.52915,1.24E-06,8.43E-05
PRELP,5.196464766,5.97163017,108.1719832,0.003379593,0.020916108
AKR1C3,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
HSD17B2,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
ACOX2,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
CLIC3,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
CORIN,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
PLEKHA6,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
HMCN1,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
BEND6,5.182326621,4.075655008,244839.9712,0.000746749,0.006254328
AKR1C1,5.170433572,6.738250682,5386.399905,2.09E-05,0.000484071
IGFBP3,5.15611596,12.09649516,284183.2301,1.18E-07,7.03E-05
COL1A1,5.130223609,12.69939279,357557.2887,8.71E-08,7.03E-05
CCRL1,5.084943547,6.660272378,4815.22856,2.42E-05,0.000527282
CHRM2,5.067065561,5.8597576,96.20700845,0.003927313,0.023847311
SVEP1,5.064181567,7.519759009,13832.48277,6.11E-06,0.000223363
C10orf105,5.034731277,3.993196811,154.5722809,0.01356707,0.062936538
AKR1C4,5.034731277,3.993196811,154.5722809,0.01356707,0.062936538
THBS2,5.027964504,9.093412311,16411.57099,4.88E-06,0.000198365
PTGIS,4.978347921,6.563624521,13216.58731,6.48E-06,0.000231127
ALPK2,4.930137317,6.520134904,123546.2609,3.49E-07,7.03E-05
POSTN,4.894712187,5.712940302,84.43348598,0.004640353,0.027164739
ADAMTS1,4.871893925,8.2708717,199308.3334,1.87E-07,7.03E-05
ZNF469,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
ECM2,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
CDA,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
HEPH,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
NLGN1,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
FRAS1,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
PSG11,4.870297449,3.905738114,289665.1773,0.002562668,0.016686509
COL1A2,4.844210374,12.53947189,264384.9561,1.29E-07,7.03E-05
FAM198B,4.832360739,5.660481155,79.80098311,0.004986601,0.028811719
GPR133,4.828596292,6.429011244,120209.406,3.62E-07,7.03E-05
CCDC80,4.817787902,9.267464473,19200.70919,3.98E-06,0.000172799
MYLK,4.775436828,8.618464206,10354.42553,8.92E-06,0.000283436
WNT5A,4.772875875,8.736975075,224003.4375,1.60E-07,7.03E-05
PCDH18,4.719363752,6.331738278,117497.0811,3.73E-07,7.03E-05
MRVI1,4.719363752,6.331738278,117497.0811,3.73E-07,7.03E-05
ALDH3B2,4.684681836,3.812632854,80.70468419,0.02774899,0.110387128
TNFSF18,4.684681836,3.812632854,80.70468419,0.02774899,0.110387128
ASPN,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
LPAR6,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
C7orf69,4.684681517,3.812632673,85.97441218,0.026479477,0.107191921
DCN,4.679472873,10.19581068,639892.7861,4.07E-08,6.64E-05
OSR2,4.669005403,8.239976885,6140.349046,1.77E-05,0.000436107
MASP1,4.601178264,6.227425861,115267.0654,3.82E-07,7.03E-05
LOX,4.597378167,9.284868832,126509.3631,3.39E-07,7.03E-05
COL12A1,4.563123158,9.252112714,445001.0612,6.54E-08,7.03E-05
SEMA5A,4.484233046,6.982110145,19534.56577,3.89E-06,0.00016976
ARSE,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
KCNMA1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
WISP1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
EREG,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
CPS1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
DPT,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
EDNRA,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
FMO1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
B3GALT2,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
KIAA1549L,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
CFHR3,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ALX4,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ITIH5,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
C10orf107,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
ADAMTS6,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
OLFML1,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
NAALADL2,4.471608702,3.713101144,343339.0096,0.009006806,0.04650878
LMOD1,4.4569189,6.591914732,633.853502,0.000342027,0.003399938
ACTG2,4.416959863,7.841527734,9550.395889,9.91E-06,0.000305542
