miRNA,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
hsa-let-7a-2-3p,2.587270255,2.795725449,3.458736443,5.272292644
hsa-let-7a-3p,147.2595729,159.2654445,105.9483563,103.4540979
hsa-let-7a-5p,7823.928411,8096.485705,3584.075304,3707.193891
hsa-let-7b-3p,25.00970926,24.33088211,8.832893068,9.716809872
hsa-let-7b-5p,2112.699747,2257.695417,805.7570875,827.7016233
hsa-let-7c-3p,1.926129038,1.505220353,1.537216197,0.687690345
hsa-let-7c-5p,342.9725242,355.7500023,132.300634,140.2382593
hsa-let-7d-3p,35.73252619,32.03758221,32.46088203,35.98912805
hsa-let-7d-5p,1250.444903,1292.034752,950.2852961,996.2347932
hsa-let-7e-3p,25.1216189,23.19841813,19.85570921,16.96302851
hsa-let-7e-5p,768.8564459,784.0444723,378.9382258,352.2319556
hsa-let-7f-1-3p,9.383809324,8.682423,4.392046277,4.469987241
hsa-let-7f-2-3p,45.45404879,48.16213226,32.02533744,33.5058018
hsa-let-7f-5p,19048.59388,19583.43756,16447.78135,16863.01058
hsa-let-7g-3p,0.685475334,0.917208179,4.91909183,5.043062529
hsa-let-7g-5p,2887.928765,2910.379072,3828.958718,3944.907595
hsa-let-7i-3p,15.54143221,17.24250932,37.50807521,32.20683115
hsa-let-7i-5p,11106.29612,11304.08227,13164.20425,13505.31649
hsa-miR-1,48.68316689,51.46389612,35.62925541,34.05595408
hsa-miR-100-3p,0.339905124,0.560768367,0.768608098,0
hsa-miR-100-5p,87510.60796,86046.4111,39392.93315,38783.96082
hsa-miR-101-3p,592.6662994,618.39553,1225.255752,1308.456452
hsa-miR-101-5p,0.679810249,0.811638425,0.512405399,1.37538069
hsa-miR-103a-2-5p,0.509857686,0.32465537,0.896709448,0.687690345
hsa-miR-103a-3p,1142.278505,1200.22072,1867.024493,1872.3825
hsa-miR-103b,0,0,0,0
hsa-miR-105-3p,0,0,0,0
hsa-miR-105-5p,0,0,0,0
hsa-miR-106a-3p,0,0,1.537216197,0.45846023
hsa-miR-106a-5p,2.505334172,1.631709458,0.896709448,0.91692046
hsa-miR-106b-3p,230.5053713,225.5448579,1006.862376,995.3892028
hsa-miR-106b-5p,46.92728097,50.81462115,34.01090836,35.46189878
hsa-miR-107,85.47351273,94.41812191,140.30097,152.6702444
hsa-miR-10a-3p,0.28325427,0.088542374,1.537216197,0.91692046
hsa-miR-10a-5p,65.40591758,64.65841974,126.8203363,122.580804
hsa-miR-10b-3p,78.2716525,73.93162991,114.3323956,111.0565328
hsa-miR-10b-5p,9535.385353,9534.05679,9668.130094,9852.225388
hsa-miR-1178-3p,0,0,0,0
hsa-miR-1178-5p,0,0,0,0
hsa-miR-1179,0.084976281,0,0,0.229230115
hsa-miR-1180-3p,79.01141823,77.96647905,69.21742931,75.22568272
hsa-miR-1180-5p,0.084976281,0.265627121,0,0
hsa-miR-1181,0,0,0,0
hsa-miR-1182,0,0,0,0
hsa-miR-1183,0,0,0,0
hsa-miR-1184,0,0,0,0
hsa-miR-1185-1-3p,142.3418801,135.3463643,183.364272,194.8608797
hsa-miR-1185-2-3p,42.11235654,39.08604706,59.49026682,66.10996515
hsa-miR-1185-5p,21.12941973,21.28394323,69.45321006,68.19595919
hsa-miR-1193,0.339905124,0.206598872,0.341603599,0.764100383
hsa-miR-1197,14.87793054,15.36538118,78.88080594,74.95824758
hsa-miR-1199-3p,0,0,0,0
hsa-miR-1199-5p,0,0,0,0
hsa-miR-1200,0,0,0,0
hsa-miR-1202,0,0,0,0
hsa-miR-1203,0,0,0,0
hsa-miR-1204,0,0,0,0
hsa-miR-1205,0,0,0,0
hsa-miR-1206,0,0,0,0
hsa-miR-1207-3p,0,0,0,0
hsa-miR-1207-5p,0,0,0,0
hsa-miR-1208,0,0,0,0
hsa-miR-122-3p,0,0,0,0
hsa-miR-122-5p,0.297416984,0.177084747,0.640506749,1.37538069
hsa-miR-1224-3p,0,0,0,0
hsa-miR-1224-5p,0,0,0,0
hsa-miR-1225-3p,0,0,0,0
hsa-miR-1225-5p,0,0,0,0.229230115
hsa-miR-1226-3p,30.94166647,33.64520763,36.21386339,39.18098374
hsa-miR-1226-5p,0.056650854,0.029514125,0.512405399,0.933294039
hsa-miR-1227-3p,0.141627135,0.118056498,0.256202699,0
hsa-miR-1227-5p,0,0,0,0
hsa-miR-1228-3p,0.084976281,0.265627121,0.256202699,0.45846023
hsa-miR-1228-5p,0,0,0,0
hsa-miR-1229-3p,0.141627135,0.295141246,0.512405399,0
hsa-miR-1229-5p,0,0,0,0
hsa-miR-1231,0.028325427,0.029514125,0.256202699,0.243556997
hsa-miR-1233-3p,0.011926496,0.018329825,0,0
hsa-miR-1233-5p,0,0,0,0
hsa-miR-1234-3p,0.084976281,0.029514125,0,0
hsa-miR-1236-3p,0.028325427,0,0.256202699,0
hsa-miR-1236-5p,0,0,0,0
hsa-miR-1237-3p,0.090641366,0.206598872,0.256202699,0.229230115
hsa-miR-1237-5p,0,0,0,0
hsa-miR-1238-3p,0,0,0,0
hsa-miR-1238-5p,0,0,0,0
hsa-miR-124-3p,0.056650854,0,5.892662088,5.730752873
hsa-miR-124-5p,0,0,0.256202699,0
